,quadrante,caracteristica
952,D+_R+,Canal_1
953,D+_R+,Canal_1
954,D+_R+,Canal_2
955,D+_R+,Canal_2
956,D-_R+,Canal_1
957,D+_R+,Canal_1
958,D-_R-,Canal_2
959,D-_R+,Canal_2
960,D-_R+,Canal_2
961,D+_R-,Canal_1
962,D-_R-,Canal_1
963,D+_R-,Canal_1
964,D+_R-,Canal_1
965,D-_R-,Canal_1
966,D-_R-,Canal_1
967,D+_R-,Canal_1
968,D+_R-,Canal_1
969,D-_R-,Canal_1
970,D+_R+,Canal_1
971,D+_R-,Canal_1
972,D+_R+,Canal_1
973,D-_R-,Canal_1
974,D+_R+,Canal_2
975,D-_R+,Canal_2
976,D+_R+,Canal_2
977,D+_R-,Canal_2
978,D-_R-,Canal_2
979,D-_R-,Canal_2
980,D-_R-,Canal_2
981,D+_R+,Canal_2
982,D+_R-,Canal_1
983,D+_R+,Canal_1
984,D+_R-,Canal_2
985,D+_R+,Canal_2
986,D+_R+,Canal_2
987,D+_R-,Canal_2
988,D+_R+,Canal_2
989,D+_R-,Canal_2
990,D+_R+,Canal_1
991,D+_R+,Canal_1
992,D+_R-,Canal_1
993,D+_R-,Canal_1
994,D-_R-,Canal_2
995,D+_R+,Canal_2
996,D-_R+,Canal_2
997,D+_R-,Canal_1
998,D+_R-,Canal_1
999,D+_R+,Canal_1
1000,D+_R-,Canal_1
1001,D+_R-,Canal_1
1002,D+_R+,Canal_1
1003,D+_R-,Canal_2
1004,D+_R-,Canal_2
1005,D+_R+,Canal_1
1006,D+_R-,Canal_1
1007,D+_R+,Canal_2
1008,D+_R+,Canal_2
1009,D+_R+,Canal_2
1010,D+_R-,Canal_2
1011,D+_R-,Canal_1
1012,D-_R-,Canal_2
1013,D+_R-,Canal_1
1014,D+_R+,Canal_1
1015,D+_R+,Canal_1
1016,D-_R+,Canal_2
1017,D+_R+,Canal_2
1018,D-_R+,Canal_2
1019,D-_R-,Canal_1
1020,D-_R+,Canal_2
1021,D-_R+,Canal_1
1022,D+_R+,Canal_1
1023,D-_R-,Canal_2
1024,D+_R-,Canal_1
1025,D+_R+,Canal_1
1026,D+_R+,Canal_1
1027,D+_R-,Canal_1
1028,D+_R-,Canal_1
1029,D+_R+,Canal_2
1030,D+_R-,Canal_2
1031,D+_R-,Canal_2
1032,D+_R+,Canal_2
1033,D+_R-,Canal_2
1034,D+_R-,Canal_2
1035,D-_R+,Canal_2
1036,D-_R+,Canal_2
1037,D+_R+,Canal_1
1038,D+_R+,Canal_1
1039,D-_R-,Canal_2
1040,D+_R-,Canal_1
1041,D+_R+,Canal_1
1042,D-_R+,Canal_1
1043,D-_R+,Canal_2
1044,D-_R+,Canal_2
1045,D-_R-,Canal_1
1046,D-_R-,Canal_2
1047,D-_R-,Canal_2
1048,D-_R-,Canal_1
1049,D-_R+,Canal_1
1050,D-_R+,Canal_2
1051,D-_R+,Canal_2
1052,D+_R+,Canal_1
1053,D-_R+,Canal_2
1054,D-_R+,Canal_2
1055,D-_R-,Canal_2
1056,D-_R-,Canal_1
1057,D-_R+,Canal_1
1058,D+_R+,Canal_1
1059,D+_R-,Canal_1
1060,D+_R+,Canal_1
1061,D+_R-,Canal_2
1062,D+_R-,Canal_2
1063,D+_R-,Canal_1
1064,D+_R+,Canal_1
1065,D+_R+,Canal_1
1066,D+_R-,Canal_2
